756954722251022V95KJ8PT59809230828W	9049E30K7ZZ2019-05-31619168006M	3291892019-05-312017-06-190
033063533407438R85XQ4VB62590977240J	4419J88Z9ZZ2017-04-09447032300K	3282812017-04-092018-11-304
377228049638107O03XD5OB33597259896N	0875A94M9ZZ2018-07-05864205428X	3534192018-07-052018-04-237
013617708167477E27CW3CN28327242815G	3164X89M5ZZ2016-06-09250995393Q	3827032016-06-092018-05-098
494368927010139A51QI2MI54352728394Z	2459Y43K1ZZ2016-07-01004826713O	3481922016-07-012019-06-261
356612029334500P14DW7AX01967535979Z	9401W08P7ZZ2018-09-09129197613R	3961212018-09-092017-01-138
857492232248303D46SO3QE62693413669C	1719J30Q3ZZ2016-03-20743350526I	3411782016-03-202018-10-309
782762405291629J31OC3AN09100040754D	9077N65T5ZZ2019-03-10597990180C	3238732019-03-102018-05-047
373596233868601K58AE6AJ11653178198K	7860J04H4ZZ2016-01-18855959736E	3331092016-01-182019-01-129
359827454984624F08GE8RW37538877180N	7141M35Y3ZZ2016-10-24762428393Z	3737332016-10-242019-02-103
383391506799044C73SO6NC50118453417V	9606W72G9ZZ2016-12-03451677778D	3753482016-12-032018-08-147
118937119335109Z16SQ9GJ51088842194C	5293Z87V8ZZ2018-01-10227611307J	3594612018-01-102018-02-279
291471094603988T18LN9HA56584571598C	7648T94U7ZZ2019-05-30213745458Z	3815662019-05-302017-07-017
648449247578699R97RX1FN34951542090U	3768Q55D1ZZ2017-10-30530530224W	3790442017-10-302019-09-173
739948221505404N08HW4JD17359957567N	0996W39N5ZZ2019-08-20675909929S	3537812019-08-202017-03-311
178107344718763C67QP5BH22130517908E	0052X73Q4ZZ2017-06-06018657964K	3273022017-06-062017-10-261
210695444617255T55XR1TS68412127880L	9233A65Z0ZZ2018-08-30441185336W	3850282018-08-302019-02-239
960701319846736G82FJ1XY25607477097M	2214S62Y7ZZ2017-04-15508374248H	3716442017-04-152017-09-232
434078783025901U62FD9KJ83069287424Z	7907F02D3ZZ2016-06-20073247180L	3820432016-06-202018-11-295
324570041712352J51MY5CW07364638115L	3160K07C2ZZ2018-08-19190844374I	3325372018-08-192019-08-061
851153339181769M43IF2IO84558059395Y	1320W54E7ZZ2019-01-31016625821Y	3887132019-01-312019-07-102
546097198988363Z88IO7HI58833383158J	2741A69C4ZZ2018-10-04421921651V	3518052018-10-042019-03-158
724530910223671T10PQ7QH12286317769A	2619W71D2ZZ2016-12-04990437696C	3714102016-12-042018-12-101
059618457639770I72CA7NT71186013278L	5221V41L4ZZ2018-07-19682626992I	3327502018-07-192019-07-155
906168202901440X62WA4TF28038873945X	5798H61J0ZZ2016-08-19564848367Z	3394922016-08-192019-07-279
459783623539421E06BV4VA28884444885A	7636O69L2ZZ2019-11-18739770243P	3785492019-11-182019-02-274
361001418888577C61MX2NJ53046048733F	8542N50M2ZZ2019-10-26758495027U	3463192019-10-262017-12-042
183580580386999Z47NF0ZK19780277828B	5063X26X3ZZ2016-08-06435160287L	3107882016-08-062018-03-250
777108447431932O35FN5FO00299852014A	5343M16A7ZZ2018-11-18993103387K	3131892018-11-182019-11-244
014302501128831V57GT7CQ80663903332L	7282E48Q8ZZ2019-03-09188529453T	3694312019-03-092019-10-318
087895058939011G32QF5QI85902864926H	1680X17L4ZZ2017-02-24546825282C	3259002017-02-242019-02-102
208492745644876P03EZ8XF38001702175J	1264J83B9ZZ2017-01-10784809293C	3907072017-01-102018-10-157
565843012375221L81OE9PT33474530279J	3564T17W7ZZ2019-03-30541209532K	3163032019-03-302017-02-089
610533592887611Z21LD1TN58943328991P	0904G38D9ZZ2018-02-10091843411F	3197422018-02-102018-07-101
527875761675729J29MS0PT94154023054J	3671Q36X0ZZ2016-12-30904398327N	3371552016-12-302019-07-129
104629595682480K55QT2HG31151755917U	4931U03W9ZZ2018-10-21192741998I	3359552018-10-212019-01-286
793731971409226D22NU4MF63198295294A	9263U35K3ZZ2016-10-13622966137I	3355092016-10-132018-02-098
543798188972375E65KR5WU24983955205K	0197I84Y9ZZ2016-05-21548932783J	3388722016-05-212017-06-141
519319940618040H33XC0VR83330543142Z	0127J17G8ZZ2017-10-06131903546M	3698592017-10-062019-07-173
437204409168541E04VH0UN15608076892B	1025S92K3ZZ2016-07-16455513236M	3570172016-07-162017-09-220
961884676919930E15OE7OB58784386094B	4676X72A4ZZ2017-06-10671416905J	3162472017-06-102018-03-053
244221525033857B98JE7JK93460729233C	1386X71K1ZZ2016-05-28348149405K	3206012016-05-282017-05-020
360131631763389G06RQ1GZ62929403095J	1057E90J2ZZ2018-10-04872979468B	3252092018-10-042020-01-081
960544714044300K66GP3CF42965246682H	9619U99N7ZZ2018-12-29484887890Q	3544952018-12-292019-11-157
993553865048122X95ON8MV46946269595V	3370U29C9ZZ2018-11-27586315421F	3427132018-11-272017-10-045
021193579690468D00IE2JC68463146967L	4148G23L3ZZ2016-08-03734030243N	3157692016-08-032019-02-259
605398243441952V45UI2CO11965998280I	3583A99X7ZZ2019-04-26913466307N	3313082019-04-262018-03-053
637533959875475J61BW2VL32090253563A	0409Y63J7ZZ2017-10-13500170886Y	3672052017-10-132017-02-164
215230522337108Q86XJ1JO99079774638X	7078E29B9ZZ2017-10-05248898391L	3464582017-10-052017-07-268
895214759418413Z99PU2IZ90143884818O	3073B06X1ZZ2018-05-24462605569N	3312942018-05-242019-12-223
264491310955998G45XA4FA60313902695E	0204Z67H4ZZ2019-06-18838256171I	3660282019-06-182019-10-214
318398154441292H89CG5YJ66160983250H	2453M28Q1ZZ2018-02-01875687887H	3793842018-02-012019-12-121
799255893243887X56MO1UA90139678023P	4392C47L7ZZ2018-11-09584629056Z	3588072018-11-092017-12-302
830050435504873W11WR2PX62562935531E	3469M48D6ZZ2017-10-29030090774I	3928402017-10-292017-01-106
491179421378873D29SJ0FR08671188454Q	3865P17E3ZZ2019-08-19975523487C	3717452019-08-192019-04-151
160050271472446T30XJ3RG67037946552I	8357I03I2ZZ2017-05-24730334121C	3615792017-05-242017-06-086
923694476940502I31IQ2GK67102728100Y	0269Z49S0ZZ2016-03-25191870367W	3926222016-03-252018-07-020
030050887829791G08IL3RF09574541779I	7917M65F9ZZ2019-10-25440701494R	3564962019-10-252017-05-316
956796202830467D27PX8TO70149328022S	2648P46M8ZZ2018-11-06500467324I	3231032018-11-062018-05-317
897829671556104N45XM5VT34214192446P	2180U82C5ZZ2017-12-27249874808B	3987292017-12-272019-12-011
187218213613987L34OR8HN25468414028L	5682D19X7ZZ2017-02-18971197318Y	3984122017-02-182017-08-233
298254896607960G91VJ8OW05854552853L	6291Z71X1ZZ2017-06-24664112218T	3614272017-06-242019-12-121
646626437454283Y12WH3QN76055688152X	1486Q44B6ZZ2016-05-01570744713C	3882692016-05-012018-09-224
505086412342756B07YT9OW17744511475K	4946X77L4ZZ2016-02-18027466260P	3813882016-02-182018-10-053
237077754255529E81HG9EP89643098304I	4416E72B2ZZ2019-10-17130260926P	3940322019-10-172017-12-140
676395489317480O43XC2KF88263198266H	2932H11W6ZZ2018-04-05038706773A	3980372018-04-052019-03-059
592925362791129O51OW3DX53179945194H	5312L50Y7ZZ2018-10-06520062522V	3880982018-10-062018-09-271
314545653419754P64JG9CU17427359247Q	3004R03R0ZZ2017-07-01792332888O	3820232017-07-012019-04-248
718521360778657W60UP9BE75152839367E	8671W91O7ZZ2018-10-04640329802V	3158002018-10-042019-12-299
404182985911991U00ZL9DW27848829345Z	4057D85N4ZZ2019-01-18840288416W	3382582019-01-182018-07-263
271135429814129H71PV3DG06939088411U	3110U46B4ZZ2018-05-09308437692P	3119392018-05-092019-04-259
949804696946385K95LJ6AF77261469663V	9025A69D1ZZ2018-09-15743627212W	3431732018-09-152017-06-136
715792021296863O03YZ9KJ33066875386M	6045J07S6ZZ2019-07-25969991178G	3124902019-07-252018-02-191
293952414163777Y99ZA3TL14089680530M	8713F18I4ZZ2019-02-27401516761T	3293762019-02-272017-05-158
168873436650133U37XP3DK69251582367Y	9231L83T7ZZ2018-08-14917840813C	3819512018-08-142018-09-246
522582738993287R33PB2ZU28571533363U	0489S57Y1ZZ2016-12-01529626118D	3295922016-12-012019-03-252
155628600594886O00SY7HU91087881403E	6705H67Y3ZZ2018-01-07854036336U	3515282018-01-072017-08-261
152233522377941O83AZ1VA11495302255T	3226S69Q2ZZ2016-02-27209245186E	3100842016-02-272019-12-264
020957852320812Z19RK3DC18393274391G	4114E81C6ZZ2016-08-11313047366A	3255832016-08-112018-04-258
045189935547250C73NI7OS61556663659F	8575F69A6ZZ2016-09-03922644316J	3197642016-09-032017-01-152
582549976971517K87NB7CI53722599485T	5934R81C9ZZ2019-08-12183352573Z	3118202019-08-122017-03-254
863779238945287F11SA5NF38026584313K	0705Q98I5ZZ2019-12-07970321898B	3978002019-12-072019-06-294
151712038037089C71AK0GZ35344769189F	0479J12Z9ZZ2019-03-10944481003R	3992272019-03-102018-05-218
324415249418802I77GD9WI03164147390A	7863B45U1ZZ2016-12-14880952322C	3311022016-12-142019-09-276
212187257145207M67AN2AI86828016921C	2273Q25D0ZZ2019-05-05837980930J	3741612019-05-052018-12-120
379938111624459F44MV8TJ99156643553E	0415C75Z0ZZ2018-02-13016809966E	3594762018-02-132018-11-024
893493179435529J04KB8ZW06670569914K	9350P78L8ZZ2018-01-31549128737Z	3934632018-01-312019-02-168
301076525439559A39CM3PX60069609185V	0403M04O8ZZ2017-09-29338983152U	3381322017-09-292018-11-178
281655226592780A04KR3AD38873477208F	1605H20D8ZZ2019-05-25711641331Z	3353132019-05-252019-04-121
642759365355209F33YR0KA81538935044K	6846Q67F0ZZ2019-10-19744465546A	3944522019-10-192018-02-264
501974621070982R22TL6YJ13992914540V	6855D07G5ZZ2020-01-09374008830Z	3823792020-01-092019-01-103
453202794053771H14IV5QO58249318321H	9009L69N7ZZ2019-10-24875805693U	3806242019-10-242019-04-079
776958039128967E14WC5VP70614459743C	7975T55Y3ZZ2017-03-04439520528W	3494502017-03-042017-04-278
568534937308123G64MR5JI07075073979G	4057A66V4ZZ2019-05-28988780114V	3723742019-05-282018-03-076
138786528051834S04LJ2RO75899597452N	0760I76I0ZZ2017-02-27838186818G	3977722017-02-272017-04-224
181380345828435J67HO6TP83767857714P	3235C97M8ZZ2016-11-02518402699P	3539952016-11-022018-11-143
689316810135341W15WA8YI74202163246Q	4377M59B7ZZ2018-08-04704394205U	3643002018-08-042018-09-014
713751962545727F40LS5BF36874054413N	5938D58A8ZZ2018-03-30925265961I	3208842018-03-302018-02-217
812936249006516D70KT3LJ56853965572I	0277S20Z1ZZ2019-02-13098113504W	3786462019-02-132017-12-171
018420025983480D65EN6CR01611277392M	4025R73C1ZZ2017-01-06905421363Y	3604432017-01-062017-09-074
339251761918647Z59RI7SE54164867664H	0192V76W4ZZ2019-07-01237126241I	3527362019-07-012018-01-090
984468722670813M31LX9EQ59677075764X	2988A62R1ZZ2018-01-12875637763O	3761792018-01-122019-06-073
894315718700934F65RP7HJ91201831512Q	1994J59C2ZZ2016-07-25351223067L	3439422016-07-252019-05-049
585443110027655R20TZ4DV78243200599M	7694P91K0ZZ2017-01-10531458146C	3505922017-01-102019-03-222
257383652993816Y09RQ3FY09244020099R	8917L69Z1ZZ2019-08-14816909784D	3541442019-08-142017-05-189
976639857698120T92GC9VL28561387481I	6445P74M6ZZ2019-12-27644615924J	3450832019-12-272018-12-022
900806738257016L15FS7RD61705995363H	2680N32M0ZZ2019-09-20342999509M	3651772019-09-202019-08-171
250066849681985D05MC4IZ39522456217W	2678G07Q8ZZ2017-08-22629807263B	3333972017-08-222017-03-088
560621636800146W59GB7NV03002125793R	2186M49G0ZZ2019-01-26017223322E	3304262019-01-262017-08-100
631990136577701G78WH5OK88339721290J	3290U95Z7ZZ2018-07-01712421447Z	3929142018-07-012017-04-176
426600199856022S95FO9DF11403681407F	9035H83F4ZZ2016-05-12386504561D	3779302016-05-122018-05-212
564477916686771L32GD6GA11412310135V	9687N63K9ZZ2017-04-09045750261Y	3798622017-04-092019-07-221
547426426576420G39PR8MR94974727724P	4844W50E1ZZ2019-07-23275382273F	3807902019-07-232017-02-280
854438293294301I93FV3WV79205788240Y	8571N60P1ZZ2017-05-19620803443O	3370342017-05-192018-01-061
082178238388780C42UI2IG77092815554T	6240P90D5ZZ2018-12-23727077413L	3979572018-12-232017-09-069
741188498810844B13BI8GW36918011276W	9914X42X0ZZ2017-01-24811235509Z	3893752017-01-242017-10-078
192172448034776V86XD4UN13132774142Z	6036E39N7ZZ2016-02-26943013726C	3486732016-02-262019-12-114
235246646708074R19GH8BL28210460222V	0514E61N0ZZ2018-04-01042071356T	3571652018-04-012018-05-245
302660393958676B00UY6OH78679152221J	6124T80L3ZZ2018-05-24601535329G	3536822018-05-242018-01-231
410918822605388A97GL4GK71104761397B	7444T58G0ZZ2018-08-07297689597C	3723732018-08-072019-08-238
483142765119913K04YB6CS96125931658W	0195Q91G8ZZ2018-09-22048871396O	3347202018-09-222017-01-280
787004355712394R19MZ5TW82400336343P	0489P14S7ZZ2017-09-04834670547Y	3772192017-09-042020-01-043
454043387278210V26KB0OW37694468532I	7153W95P9ZZ2017-05-11757877894H	3206612017-05-112018-01-143
942105891227356D23TU8DR13512854912I	0894D75D1ZZ2017-02-22206979860B	3929762017-02-222019-10-297
142646200028715X88NQ2CA40651676306L	0103N72L1ZZ2016-07-04866444079X	3853532016-07-042017-12-290
406258218123362G68EC0IU59135747574U	4355C23J3ZZ2018-02-19747490975J	3246942018-02-192019-09-294
950822624344284I30IR9KW36493974452G	1109C22T4ZZ2019-03-10973083426V	3246682019-03-102017-05-214
996254633952875F93NS6RF02756819787H	3337R53P1ZZ2018-06-05693275448P	3716042018-06-052017-04-279
610859453479539T96JD1NM21536069166F	8232Z30T1ZZ2018-09-11629392185H	3874302018-09-112019-05-079
047713293267205L06UF2CY17509228081T	7986O21T8ZZ2019-10-14323161257X	3551172019-10-142019-04-264
856121201539065E01TM1QK36095828733B	7626B66Q9ZZ2019-01-13077863390X	3268652019-01-132018-12-244
891686579938478V22ZV8IK08975859589U	2284Z56W9ZZ2017-03-03547628174B	3161432017-03-032017-05-126
244936706859945C63CK8VS97291170717N	7851N70I7ZZ2017-02-06451641281K	3873582017-02-062017-09-135
885044864316950T77MO8NA13007211286A	3886N30I5ZZ2016-09-25956656424L	3784382016-09-252017-04-267
586685190326967X26ZK6AQ19593455494B	6381O65R8ZZ2019-03-26866884158G	3281282019-03-262017-05-138
110558958280985J03NE5LB79870878030R	8438Z43Q1ZZ2019-09-28147415809H	3212152019-09-282019-11-200
723225536724696R20BH6PW02626421088D	0382Z65Z8ZZ2018-01-11427172770U	3568412018-01-112017-10-090
118063276769522E94PW1BT61116894253F	7734F41E7ZZ2019-01-06024499585Q	3439562019-01-062017-03-184
046458451857563G66CE5IZ01177685183Q	8808B16Y6ZZ2016-12-14882540436K	3913952016-12-142019-06-149
785405709518076R40AQ9ZE50870594909C	4583D74M2ZZ2016-05-23980211796N	3598172016-05-232018-04-063
275098423757897W41EI4QP47329820286O	5366L05Y9ZZ2018-10-31000166496N	3845502018-10-312019-08-061
673546131541685V37CF9EZ03024314501V	0760U28U6ZZ2017-10-09348865439Q	3956882017-10-092017-06-241
274005532881993Z72PJ3TY12513713869W	4201U88R9ZZ2019-09-18838429525C	3240242019-09-182017-03-233
520227129567526D39NC8ZW05157595609O	7436E33W9ZZ2019-06-29047048921J	3892062019-06-292017-10-234
400160378476505B35JT8TO32171847077J	2755V96L4ZZ2016-03-23022443879E	3850992016-03-232017-03-194
619184911942471U76KF7GL13738996887S	2487M12G9ZZ2016-07-06483124714L	3279952016-07-062017-05-027
328059139870909W15UO8SR14029791816P	0929G53O3ZZ2016-03-23480550314P	3867862016-03-232018-02-222
790829434865897X91UY3PQ88490231755Y	2291S70F1ZZ2019-02-19055802218Y	3271762019-02-192019-10-154
671805729010418D32CK4OZ14529259234Q	0013B16D9ZZ2016-04-05405285940V	3189502016-04-052017-01-135
690150788078072B86HX6CN60517938626L	2440H11S4ZZ2016-07-08076763051P	3865652016-07-082019-05-309
002315188306946I12VU6MB71366822264C	7651J06N3ZZ2016-07-05752170430E	3856342016-07-052017-10-293
404364895414270R45VW6EU54324277098A	7389X79T2ZZ2016-02-10199101898J	3282392016-02-102017-03-219
178713709108415O15RA1OI04549214438T	2043Q62D9ZZ2018-02-07234679774Y	3258422018-02-072018-02-252
920645360729496R94CL1QA31195508083P	3664A72F5ZZ2019-10-02726099885Z	3179272019-10-022017-01-303
807332437235565R02MG0WS98587714088J	4244C83F2ZZ2019-01-16622378115U	3927332019-01-162017-05-230
771568349748509R09NQ7KA15881298836K	6778I39S2ZZ2018-05-12373281040T	3497012018-05-122019-03-209
551275599095728Q50LT0UP90166138264T	4251C73V6ZZ2017-06-16737776317Q	3156532017-06-162017-03-022
889193090824020I52YF2WD16809224438V	8534Q80B3ZZ2017-07-02497413131D	3219382017-07-022019-01-194
107082507636021Y08AQ7YK27533908682D	2642W51X5ZZ2019-08-20333126206P	3943992019-08-202019-05-276
823255247823608A84FX3EW80355019861J	2087O69N3ZZ2019-04-03224355774Z	3117692019-04-032017-06-250
622907178155875L07BP6OA76931648155G	8819Y14M2ZZ2019-07-06904102096E	3139102019-07-062018-06-251
405211471284719B63UZ1GW05115993351O	3372K99K2ZZ2018-06-13419130229D	3504472018-06-132019-12-266
796492453845443V08HB1FH14436943684Q	3003L37H1ZZ2017-12-28397390218K	3536652017-12-282017-03-303
167920307862936V95YH5MK00299659275W	3408Y34Z1ZZ2017-01-31589019801J	3613632017-01-312018-03-065
576398813711935F59XI9CV84721860399M	7210M98X8ZZ2017-08-10739679832V	3103502017-08-102018-08-053
518873209359962R73XI3QF55582802159F	9224W33M0ZZ2018-12-30978505204B	3184092018-12-302018-07-229
344864863770026J37IG6TR36900944568I	4811B11K4ZZ2019-08-24069482070Y	3567822019-08-242017-02-219
456005034716982F31LJ6QK44978332273V	2570U40D0ZZ2016-02-12350690718T	3202862016-02-122019-02-028
269523045874825V10ZS2OU61250667789T	9130W31T8ZZ2019-01-06772707803N	3401312019-01-062017-01-121
793745248174190F93ML8GM49794209164G	9199U31C1ZZ2018-06-22274588577M	3457352018-06-222018-08-062
245988284019088O40GQ6KJ38716998354N	3510G38L6ZZ2018-04-12476720271Z	3344502018-04-122017-09-214
594949265398703T74HN1CX89934054733Y	3067B56Q7ZZ2017-02-18053212717I	3264622017-02-182018-06-233
084078413016885J33VF2LF16052247804G	3707W99E5ZZ2016-05-30377621138Y	3396112016-05-302017-02-279
940752786429643L57UF6AW28978552450P	5196P42H6ZZ2016-08-08141225886E	3825122016-08-082017-05-246
431509684529905U99HW6BG91887290718X	7895D85M1ZZ2016-07-14214363163B	3429202016-07-142018-06-048
642109113871833R77CB8ZI86523143550T	9902Y14N5ZZ2017-11-22963294560S	3329802017-11-222019-07-143
553112693878189P17AY1UA86782011821Q	5053E58N9ZZ2016-08-05523111116S	3517862016-08-052017-03-149
855055800171233H68LQ6MC93991163302B	5321N97R4ZZ2018-06-04250961074W	3638172018-06-042018-07-016
310643562527743O92PI5MP22401684697Y	4241G98H7ZZ2016-04-25170141409G	3821072016-04-252019-03-012
771907543829691A75SL9GF19297175396R	1420J96H8ZZ2018-09-05983059475K	3290982018-09-052018-05-223
408640333733734E86ME8PL35858168443A	8608B17R8ZZ2019-04-04574789426Y	3198722019-04-042019-08-310
117506392307803V37WE8JM44982541841U	1252P65E3ZZ2016-11-03808792534L	3355392016-11-032017-05-053
527495126378705W77PN1GN77438673152N	0297F43C9ZZ2018-04-04261368396Z	3792752018-04-042020-01-097
382409430233956I32YW0OA78587706749G	6289S96N9ZZ2017-11-29032969657L	3248842017-11-292018-01-235
573668824433079L91VY0KE00905162971L	3274O55P4ZZ2016-06-16432575047Z	3740622016-06-162017-11-277
627499643879101H71SW7YW49143469644F	4988M21W6ZZ2019-12-22728719416F	3758622019-12-222017-07-168
022331556625236D11WV0EM07346785212E	4785L01N1ZZ2017-06-17019245080W	3984402017-06-172018-07-214
466021628310080D27YV2YC53842564950G	0696K78N8ZZ2016-01-22538628320R	3693722016-01-222017-09-228
220393507935252E05MX4XS20503944011Z	7800Y78T9ZZ2016-10-16275014651L	3326172016-10-162017-05-105
518806369251169F80AV7ZJ61102670337L	4181B27L1ZZ2017-11-13846897645P	3252472017-11-132018-08-132
313094244078985X15NW5AN08181586574F	2543N37S1ZZ2018-06-10200277329A	3603812018-06-102019-09-049
013574759280093I90IY3CP33128483114K	7443M34C1ZZ2019-06-12826723763B	3947122019-06-122017-09-219
580104137898070N33SJ8KW30661597959Z	5908G24F7ZZ2017-08-05755202758R	3691272017-08-052017-04-077
113539598755176P41GS1KS74915326452O	4320F54W9ZZ2019-11-11570247324J	3692502019-11-112018-11-115
211311300095276N05EP8NO37958842531T	0745O33V6ZZ2019-03-11505608168G	3284652019-03-112018-03-126
879033885743723D24XH8BP88887376843O	5043X41O3ZZ2018-04-28277143868R	3966562018-04-282018-04-307
013093838394529E49ID0QB39429805090C	3509K10C8ZZ2017-01-17324133670A	3920472017-01-172018-05-272
022442619167561U25AP0TX84479615414B	8579V40C2ZZ2019-03-20942600349E	3512192019-03-202018-03-047
787269755936458K79IQ2MD60632356089Z	4245L61O4ZZ2019-11-29549972958V	3452442019-11-292019-06-049
559042199383766F45ZP1EI14725197278F	0400O22J7ZZ2018-04-30462886314Q	3288292018-04-302017-10-180
462643577032305E91OY7OS82867476213W	1667S01J2ZZ2018-04-09992116432O	3767672018-04-092019-08-090
833601642588186K46OK7IR23911930785Q	1143G27P9ZZ2016-03-04396064159R	3260222016-03-042017-07-222
192873879894117Q15AT3YP58101684847C	8426C94P8ZZ2017-08-25652213679F	3338492017-08-252017-08-169
702445195997152H61VA1SA37832523250O	0491F70F3ZZ2017-04-10129598674Z	3190952017-04-102019-07-239
384334065534341O39NU0DP72684513974P	5682K45W6ZZ2017-10-15953628788G	3958732017-10-152017-01-311
515707611547078I66MW3NP83573367325P	2839N30J7ZZ2016-01-24919888516B	3579252016-01-242019-12-020
234804218985835U59LJ1QF70952433773L	3404W72G8ZZ2018-09-09636315835U	3616592018-09-092017-02-130
178303171705968B75XQ1FK01099315902W	2109K51Z6ZZ2018-12-04760534672W	3561272018-12-042017-03-159
525030754525051T59EP6KJ05218557305S	0032Q99D4ZZ2016-10-21700425671I	3606072016-10-212019-07-213
743875498587761L39GF4TR90771575081V	2834X13P0ZZ2018-12-20912433177P	3627112018-12-202018-02-144
657006579647054O33IK1YI66090005241U	5509X55S0ZZ2017-03-16750538403P	3493212017-03-162018-09-094
246501815779126L81ZT4ZF19539127914A	4593B82C2ZZ2017-07-12311152958S	3222392017-07-122017-05-094
405599499398715P12VJ7XY63232768614G	1408J73Q5ZZ2016-02-27507871058R	3720602016-02-272019-04-162
426090315627849R74TG3MI51629932762J	9838R33Z6ZZ2018-04-07765686090E	3937162018-04-072017-10-135
838471971248543Y61LR7PA11378578945M	0652Y66R7ZZ2018-12-04769236936B	3797842018-12-042018-07-031
678700650937224J72AZ9LG53842864283C	3024U24N1ZZ2018-04-09343885957Z	3514452018-04-092018-08-229
927022859788157U41HM5CU83160912454I	5578Y18T9ZZ2019-05-12044231807Z	3634192019-05-122019-12-024
839738302930955B61WG7YU10299467652D	5929P89M9ZZ2018-03-31091759170T	3936652018-03-312017-06-298
368917502215963W87SQ7PF34399146125D	4477K31W9ZZ2019-12-20996234867H	3380252019-12-202018-08-156
257073960361786E61EP7NM05662551058N	3151I80V2ZZ2019-03-23134290233X	3548652019-03-232018-10-099
503718000422115O01NF4OL88905106036I	4271H22Q7ZZ2016-12-24367560405K	3572012016-12-242019-03-295
516434858976114Y73LD9LV63276728126Y	6320U30Z6ZZ2017-10-11424783686T	3494452017-10-112017-06-072
704128214968296V58FI9BS09197475085X	5116Y25C9ZZ2019-07-30260993022J	3555662019-07-302018-01-175
662723463637460I90HB7RQ31929547529B	8622B67W1ZZ2017-04-11641817898X	3346372017-04-112017-08-312
105617563918010A31ZN8KX28861714984J	7268D24E6ZZ2017-04-04319306062F	3147282017-04-042019-08-159
